	RMSE	n_factors	params	scores
0	0.23616202965147867	60	{'n_factors': 60, 'lr_all': 0.01, 'reg_all': 0.02}	{'RMSE': 0.23616202965147867}
1	0.2359056022448243	68	{'n_factors': 68, 'lr_all': 0.01, 'reg_all': 0.02}	{'RMSE': 0.23590560224482429}
2	0.23584703890905515	76	{'n_factors': 76, 'lr_all': 0.01, 'reg_all': 0.02}	{'RMSE': 0.23584703890905515}
3	0.2358095336788674	84	{'n_factors': 84, 'lr_all': 0.01, 'reg_all': 0.02}	{'RMSE': 0.23580953367886739}
4	0.23575808718873292	92	{'n_factors': 92, 'lr_all': 0.01, 'reg_all': 0.02}	{'RMSE': 0.23575808718873292}
5	0.23564563185782475	100	{'n_factors': 100, 'lr_all': 0.01, 'reg_all': 0.02}	{'RMSE': 0.23564563185782475}
6	0.23558521087060466	108	{'n_factors': 108, 'lr_all': 0.01, 'reg_all': 0.02}	{'RMSE': 0.23558521087060466}
7	0.23552908159980157	116	{'n_factors': 116, 'lr_all': 0.01, 'reg_all': 0.02}	{'RMSE': 0.23552908159980157}
8	0.23548330473608928	124	{'n_factors': 124, 'lr_all': 0.01, 'reg_all': 0.02}	{'RMSE': 0.23548330473608928}
9	0.23538691553081648	132	{'n_factors': 132, 'lr_all': 0.01, 'reg_all': 0.02}	{'RMSE': 0.23538691553081648}
