	RMSE	n_factors	params	scores
0	0.2506282233473754	120	{'n_factors': 120, 'lr_all': 0.002, 'reg_all': 0.02}	{'RMSE': 0.25062822334737539}
1	0.2442987746088384	120	{'n_factors': 120, 'lr_all': 0.0031999999999999997, 'reg_all': 0.02}	{'RMSE': 0.24429877460883839}
2	0.24049885984720468	120	{'n_factors': 120, 'lr_all': 0.0043999999999999994, 'reg_all': 0.02}	{'RMSE': 0.24049885984720468}
3	0.2381521272617525	120	{'n_factors': 120, 'lr_all': 0.0055999999999999991, 'reg_all': 0.02}	{'RMSE': 0.2381521272617525}
4	0.2370123597653083	120	{'n_factors': 120, 'lr_all': 0.0067999999999999988, 'reg_all': 0.02}	{'RMSE': 0.23701235976530829}
5	0.2362244129568113	120	{'n_factors': 120, 'lr_all': 0.0079999999999999984, 'reg_all': 0.02}	{'RMSE': 0.23622441295681129}
6	0.23568029822659045	120	{'n_factors': 120, 'lr_all': 0.0091999999999999981, 'reg_all': 0.02}	{'RMSE': 0.23568029822659045}
7	0.23536089622308184	120	{'n_factors': 120, 'lr_all': 0.010399999999999998, 'reg_all': 0.02}	{'RMSE': 0.23536089622308184}
8	0.235185419821389	120	{'n_factors': 120, 'lr_all': 0.011599999999999997, 'reg_all': 0.02}	{'RMSE': 0.23518541982138899}
9	0.2351122024336	120	{'n_factors': 120, 'lr_all': 0.012799999999999997, 'reg_all': 0.02}	{'RMSE': 0.23511220243360001}
10	0.2350559820053717	120	{'n_factors': 120, 'lr_all': 0.013999999999999997, 'reg_all': 0.02}	{'RMSE': 0.2350559820053717}
