	RMSE	n_factors	params	scores
0	0.23549097557021828	120	{'n_factors': 120, 'lr_all': 0.01, 'reg_all': 0.02}	{'RMSE': 0.23549097557021828}
1	0.24393134901618851	120	{'n_factors': 120, 'lr_all': 0.01, 'reg_all': 0.032000000000000001}	{'RMSE': 0.24393134901618851}
2	0.25043857855903645	120	{'n_factors': 120, 'lr_all': 0.01, 'reg_all': 0.043999999999999997}	{'RMSE': 0.25043857855903645}
3	0.25365421599153254	120	{'n_factors': 120, 'lr_all': 0.01, 'reg_all': 0.056000000000000008}	{'RMSE': 0.25365421599153254}
4	0.2557812814688279	120	{'n_factors': 120, 'lr_all': 0.01, 'reg_all': 0.068000000000000005}	{'RMSE': 0.25578128146882789}
5	0.25589198357599463	120	{'n_factors': 120, 'lr_all': 0.01, 'reg_all': 0.080000000000000002}	{'RMSE': 0.25589198357599463}
6	0.2559606916718024	120	{'n_factors': 120, 'lr_all': 0.01, 'reg_all': 0.092000000000000012}	{'RMSE': 0.25596069167180241}
7	0.25603144797424243	120	{'n_factors': 120, 'lr_all': 0.01, 'reg_all': 0.10400000000000001}	{'RMSE': 0.25603144797424243}
8	0.256104330773716	120	{'n_factors': 120, 'lr_all': 0.01, 'reg_all': 0.11600000000000001}	{'RMSE': 0.25610433077371603}
9	0.25617917689443637	120	{'n_factors': 120, 'lr_all': 0.01, 'reg_all': 0.128}	{'RMSE': 0.25617917689443637}
